"vehicle_category_id","child_sequence","grandchild_sequence","boarding_area_id"
"A8","6","","2560712"
"A8","7","","2560712"
"A8","8","","2560712"
"A8","1","","2560713"
"A8","2","","2560713"
"A8","3","","2560713"
"A8","4","","2560713"
"A8","5","","2560713"
"A8","6","","2560713"
"A8","7","","2560713"
"A8","8","","2560713"
"A8","1","","2750491"
"A8","2","","2750491"
"A8","3","","2750491"
"A8","4","","2750491"
"A8","5","","2750491"
"A8","6","","2750491"
"A8","7","","2750491"
"A8","8","","2750491"
"A8","1","","2750492"
"A8","2","","2750492"
"A8","3","","2750492"
"A8","4","","2750492"
"A8","5","","2750492"
"A8","6","","2750492"
"A8","7","","2750492"
"A8","8","","2750492"
"A8","1","","2750511"
"A8","2","","2750511"
"A8","3","","2750511"
"A8","4","","2750511"
"A8","5","","2750511"
"A8","6","","2750511"
"A8","7","","2750511"
"A8","8","","2750511"
"A8","1","","2750512"
"A8","2","","2750512"
"A8","3","","2750512"
"A8","4","","2750512"
"A8","5","","2750512"
"A8","6","","2750512"
"A8","7","","2750512"
"A8","8","","2750512"
"A8","1","","2750513"
"A8","2","","2750513"
"A8","3","","2750513"
"A8","4","","2750513"
"A8","5","","2750513"
"A8","6","","2750513"
"A8","7","","2750513"
"A8","8","","2750513"
"B8","1","","2000337"
"B8","2","","2000337"
"B8","3","","2000337"
"B8","4","","2000337"
"B8","5","","2000337"
"B8","6","","2000337"
"B8","7","","2000337"
"B8","8","","2000337"
"B8","1","","2000338"
"B8","2","","2000338"
"B8","3","","2000338"
"B8","4","","2000338"
"B8","5","","2000338"
"B8","6","","2000338"
"B8","7","","2000338"
"B8","8","","2000338"
"B8","1","","2000339"
"B8","2","","2000339"
"B8","3","","2000339"
"B8","4","","2000339"
"B8","5","","2000339"
"B8","6","","2000339"
"B8","7","","2000339"
"B8","8","","2000339"
"B8","1","","2000340"
"B8","2","","2000340"
"B8","3","","2000340"
"B8","4","","2000340"
"B8","5","","2000340"
"B8","6","","2000340"
"B8","7","","2000340"
"B8","8","","2000340"
"B8","1","","2000341"
"B8","2","","2000341"
"B8","3","","2000341"
"B8","4","","2000341"
"B8","5","","2000341"
"B8","6","","2000341"
"B8","7","","2000341"
"B8","8","","2000341"
"B8","1","","2000342"
"B8","2","","2000342"
"B8","3","","2000342"
"B8","4","","2000342"
"B8","5","","2000342"
"B8","6","","2000342"
"B8","7","","2000342"
"B8","8","","2000342"
"B8","1","","2000343"
"B8","2","","2000343"
"B8","3","","2000343"
"B8","4","","2000343"
"B8","5","","2000343"
"B8","6","","2000343"
"B8","7","","2000343"
"B8","8","","2000343"
"B8","1","","2000391"
"B8","2","","2000391"
"B8","3","","2000391"
"B8","4","","2000391"
"B8","5","","2000391"
"B8","6","","2000391"
"B8","7","","2000391"
"B8","8","","2000391"
"B8","1","","2000396"
"B8","2","","2000396"
"B8","3","","2000396"
"B8","4","","2000396"
"B8","5","","2000396"
"B8","6","","2000396"
"B8","7","","2000396"
"B8","8","","2000396"
"B8","1","","2000405"
"B8","2","","2000405"
"B8","3","","2000405"
"B8","4","","2000405"
"B8","5","","2000405"
"B8","6","","2000405"
"B8","7","","2000405"
"B8","8","","2000405"
"B8","1","","2000406"
"B8","2","","2000406"
"B8","3","","2000406"
"B8","4","","2000406"
"B8","5","","2000406"
"B8","6","","2000406"
"B8","7","","2000406"
"B8","8","","2000406"
"B8","1","","2015135"
"B8","2","","2015135"
"B8","3","","2015135"
"B8","4","","2015135"
"B8","5","","2015135"
"B8","6","","2015135"
"B8","7","","2015135"
"B8","8","","2015135"
"B8","1","","2015136"
"B8","2","","2015136"
